iteration;replicate;init_pop;fertility_type;heritability_type;mating_type;random_mating;leakage;fertility_factor
1012;20;1000;additive;preston;defined;0.1;0.1;0.25
1012;21;1000;additive;preston;defined;0.1;0.1;0.25
1012;22;1000;additive;preston;defined;0.1;0.1;0.25
1012;23;1000;additive;preston;defined;0.1;0.1;0.25
1012;24;1000;additive;preston;defined;0.1;0.1;0.25
1012;25;1000;additive;preston;defined;0.1;0.1;0.25
1012;26;1000;additive;preston;defined;0.1;0.1;0.25
1012;27;1000;additive;preston;defined;0.1;0.1;0.25
1012;28;1000;additive;preston;defined;0.1;0.1;0.25
1012;29;1000;additive;preston;defined;0.1;0.1;0.25
1012;3;1000;additive;preston;defined;0.1;0.1;0.25
1012;30;1000;additive;preston;defined;0.1;0.1;0.25
1012;4;1000;additive;preston;defined;0.1;0.1;0.25
1012;5;1000;additive;preston;defined;0.1;0.1;0.25
1012;6;1000;additive;preston;defined;0.1;0.1;0.25
1012;7;1000;additive;preston;defined;0.1;0.1;0.25
1012;8;1000;additive;preston;defined;0.1;0.1;0.25
1012;9;1000;additive;preston;defined;0.1;0.1;0.25
1013;1;1000;additive;preston;defined;0.1;0.1;0.25
1013;10;1000;additive;preston;defined;0.1;0.1;0.25
1013;11;1000;additive;preston;defined;0.1;0.1;0.25
1013;12;1000;additive;preston;defined;0.1;0.1;0.25
1013;13;1000;additive;preston;defined;0.1;0.1;0.25
1013;14;1000;additive;preston;defined;0.1;0.1;0.25
1013;15;1000;additive;preston;defined;0.1;0.1;0.25
1013;16;1000;additive;preston;defined;0.1;0.1;0.25
1013;17;1000;additive;preston;defined;0.1;0.1;0.25
1013;18;1000;additive;preston;defined;0.1;0.1;0.25
1013;19;1000;additive;preston;defined;0.1;0.1;0.25
1013;2;1000;additive;preston;defined;0.1;0.1;0.25
1013;20;1000;additive;preston;defined;0.1;0.1;0.25
1013;21;1000;additive;preston;defined;0.1;0.1;0.25
1013;22;1000;additive;preston;defined;0.1;0.1;0.25
1013;23;1000;additive;preston;defined;0.1;0.1;0.25
1013;24;1000;additive;preston;defined;0.1;0.1;0.25
1013;25;1000;additive;preston;defined;0.1;0.1;0.25
1013;26;1000;additive;preston;defined;0.1;0.1;0.25
1013;27;1000;additive;preston;defined;0.1;0.1;0.25
1013;28;1000;additive;preston;defined;0.1;0.1;0.25
1013;29;1000;additive;preston;defined;0.1;0.1;0.25
1013;3;1000;additive;preston;defined;0.1;0.1;0.25
1013;30;1000;additive;preston;defined;0.1;0.1;0.25
1013;4;1000;additive;preston;defined;0.1;0.1;0.25
1013;5;1000;additive;preston;defined;0.1;0.1;0.25
1013;6;1000;additive;preston;defined;0.1;0.1;0.25
1013;7;1000;additive;preston;defined;0.1;0.1;0.25
1013;8;1000;additive;preston;defined;0.1;0.1;0.25
1013;9;1000;additive;preston;defined;0.1;0.1;0.25
1014;1;1000;additive;preston;defined;0.1;0.1;0.25
1014;10;1000;additive;preston;defined;0.1;0.1;0.25
1014;11;1000;additive;preston;defined;0.1;0.1;0.25
1014;12;1000;additive;preston;defined;0.1;0.1;0.25
1014;13;1000;additive;preston;defined;0.1;0.1;0.25
1014;14;1000;additive;preston;defined;0.1;0.1;0.25
1014;15;1000;additive;preston;defined;0.1;0.1;0.25
1014;16;1000;additive;preston;defined;0.1;0.1;0.25
1014;17;1000;additive;preston;defined;0.1;0.1;0.25
